UniProt_ID,Protein,Gene,OMIM_ID
Q00604,NDP_HUMAN,NDP,305390
Q6T4R5,NHS_HUMAN,NHS,302200
Q8NCW5,NNRE_HUMAN,NAXE,617186
Q9UM47,NOTC3_HUMAN,NOTCH3,125310
O15259,NPHP1_HUMAN,NPHP1,256100
Q8N130,NPT2C_HUMAN,SLC34A3,241530
P51843,NR0B1_HUMAN,NR0B1,300018
Q15466,NR0B2_HUMAN,NR0B2,601665
Q01453,PMP22_HUMAN,PMP22,118220
Q15126,PMVK_HUMAN,PMVK,175800
Q15738,NSDHL_HUMAN,NSDHL,300831
Q96MG7,NSE3_HUMAN,NSMCE3,617241
Q6ZRI0,OTOG_HUMAN,OTOG,614945
Q6VY07,PACS1_HUMAN,PACS1,615009
Q86VP3,PACS2_HUMAN,PACS2,618067
Q9ULW8,PADI3_HUMAN,PADI3,191480
O75914,PAK3_HUMAN,PAK3,300558
P05165,PCCA_HUMAN,PCCA,606054
P40424,PBX1_HUMAN,PBX1,617641
P12004,PCNA_HUMAN,PCNA,615919
P49585,PCY1A_HUMAN,PCYT1A,608940
Q14123,PDE1C_HUMAN,PDE1C,618140
P35913,PDE6B_HUMAN,PDE6B,163500
P01127,PDGFB_HUMAN,PDGFB,607907
P07237,PDIA1_HUMAN,P4HB,112240
Q7Z3K3,POGZ_HUMAN,POGZ,616364
Q9UNA1,RHG26_HUMAN,ARHGAP26,607785
Q99575,POP1_HUMAN,POP1,617396
Q9BZG2,PPAT_HUMAN,ACP4,617297
Q8NBL1,PGLT1_HUMAN,POGLUT1,615696
Q99453,PHX2B_HUMAN,PHOX2B,209880
Q5H8A4,PIGG_HUMAN,PIGG,616917
Q92508,PIEZ1_HUMAN,PIEZO1,194380
Q9BZI7,REN3B_HUMAN,UPF3B,300676
O15120,PLCB_HUMAN,AGPAT2,608594
Q8NBT0,POC1A_HUMAN,POC1A,614813
Q8WVV4,POF1B_HUMAN,POF1B,300604
Q15319,PO4F3_HUMAN,POU4F3,602459
P18577,RHCE_HUMAN,RHCE,617970
Q9Y253,POLH_HUMAN,POLH,278750
Q9NUX5,POTE1_HUMAN,POT1,615848
Q99650,OSMR_HUMAN,OSMR,105250
P00480,OTC_HUMAN,OTC,311250
Q9HC10,OTOF_HUMAN,OTOF,601071
P54886,P5CS_HUMAN,ALDH18A1,219150
Q8IVL5,P3H2_HUMAN,P3H2,614292
Q9NVV4,PAPD1_HUMAN,MTPAP,613672
O95340,PAPS2_HUMAN,PAPSS2,612847
P28069,PIT1_HUMAN,POU1F1,613038
P98161,PKD1_HUMAN,PKD1,173900
Q13563,PKD2_HUMAN,PKD2,613095
Q96AD5,PLPL2_HUMAN,PNPLA2,610717
Q8TC44,POC1B_HUMAN,POC1B,615973
Q6PJF5,RHDF2_HUMAN,RHBDF2,148500
Q9Y6A1,POMT1_HUMAN,POMT1,236670
Q9UKY4,POMT2_HUMAN,POMT2,613150
Q9H237,PORCN_HUMAN,PORCN,305600
Q9NQX0,PRDM6_HUMAN,PRDM6,617039
P27169,PON1_HUMAN,PON1,168820
Q8NE79,POPD1_HUMAN,BVES,616812
P05186,PPBT_HUMAN,ALPL,146300
P23284,PPIB_HUMAN,PPIB,259440
P50897,PPT1_HUMAN,PPT1,256730
P04156,PRIO_HUMAN,PRNP,123400
P52945,PDX1_HUMAN,PDX1,125853
P61457,PHS_HUMAN,PCBD1,264070
Q9H5I5,PIEZ2_HUMAN,PIEZO2,108145
P00797,RENI_HUMAN,REN,267430
Q6DJT9,PLAG1_HUMAN,PLAG1,181030
Q9Y263,PLAP_HUMAN,PLAA,617527
Q15149,PLEC_HUMAN,PLEC,131950
O60568,PLOD3_HUMAN,PLOD3,612394
Q92626,PXDN_HUMAN,PXDN,269400
P06737,PYGL_HUMAN,PYGL,232700
P11217,PYGM_HUMAN,PYGM,232600
Q02127,PYRD_HUMAN,DHODH,263750
P17812,PYRG1_HUMAN,CTPS1,615897
Q04671,P_HUMAN,OCA2,203200
P22695,QCR2_HUMAN,UQCRC2,615160
O14949,QCR8_HUMAN,UQCRQ,615159
P51149,RAB7A_HUMAN,RAB7A,600882
Q92878,RAD50_HUMAN,RAD50,613078
P14927,QCR7_HUMAN,UQCRB,615158
O43502,RA51C_HUMAN,RAD51C,613390
P63000,RAC1_HUMAN,RAC1,617751
P01112,RASH_HUMAN,HRAS,109800
P01111,RASN_HUMAN,NRAS,137550
Q15042,RB3GP_HUMAN,RAB3GAP1,600118
P46777,RL5_HUMAN,RPL5,612561
P49792,RBP2_HUMAN,RANBP2,608033
P28062,PSB8_HUMAN,PSMB8,256040
P15918,RAG1_HUMAN,RAG1,233650
Q96DA2,RB39B_HUMAN,RAB39B,300271
P06400,RB_HUMAN,RB1,109800
P15153,RAC2_HUMAN,RAC2,608203
O60216,RAD21_HUMAN,RAD21,611376
Q06609,RAD51_HUMAN,RAD51,114480
P04049,RAF1_HUMAN,RAF1,611553
Q7Z5J4,RAI1_HUMAN,RAI1,182290
P24386,RAE1_HUMAN,CHM,303100
P20936,RASA1_HUMAN,RASA1,608354
P01116,RASK_HUMAN,KRAS,601626
Q5R372,RBG1L_HUMAN,RABGAP1L,601626
Q9H2M9,RBGPR_HUMAN,RAB3GAP2,212720
O15315,RA51B_HUMAN,RAD51B,150699
O75771,RA51D_HUMAN,RAD51D,614291
Q9NP72,RAB18_HUMAN,RAB18,614222
P35241,RADI_HUMAN,RDX,611022
P55895,RAG2_HUMAN,RAG2,233650
P51159,RB27A_HUMAN,RAB27A,607624
Q9H082,RB33B_HUMAN,RAB33B,615222
Q9NX24,NHP2_HUMAN,NHP2,613987
Q6VVB1,NHLC1_HUMAN,NHLRC1,254780
Q13224,NMDE2_HUMAN,GRIN2B,613970
O60936,NOL3_HUMAN,NOL3,614937
Q04721,NOTC2_HUMAN,NOTCH2,102500
O60500,NPHN_HUMAN,NPHS1,256300
Q6W5P4,NPSR1_HUMAN,NPSR1,608584
Q9Y5X4,NR2E3_HUMAN,NR2E3,268100
P49281,NRAM2_HUMAN,SLC11A2,206100
Q9UM07,PADI4_HUMAN,PADI4,180300
P05121,PAI1_HUMAN,SERPINE1,613329
Q86YC2,PALB2_HUMAN,PALB2,114480
Q8WX93,PALLD_HUMAN,PALLD,606856
P31939,PUR9_HUMAN,ATIC,608688
Q9BZ23,PANK2_HUMAN,PANK2,234200
Q71RS6,NCKX5_HUMAN,SLC24A5,113750
O60721,NCKX1_HUMAN,SLC24A1,613830
Q05586,NMDZ1_HUMAN,GRIN1,614254
P07738,PMGE_HUMAN,BPGM,222800
Q8WZA1,PMGT1_HUMAN,POMGNT1,253280
P54845,NRL_HUMAN,NRL,613750
O75694,NU155_HUMAN,NUP155,615770
Q16795,NDUA9_HUMAN,NDUFA9,256000
Q13423,NNTM_HUMAN,NNT,614736
Q9NPE3,NOP10_HUMAN,NOP10,224230
P29474,NOS3_HUMAN,NOS3,163729
P61916,NPC2_HUMAN,NPC2,607625
Q7Z494,NPHP3_HUMAN,NPHP3,208540
Q8NAT1,PMGT2_HUMAN,POMGNT2,614830
P78549,NTH_HUMAN,NTHL1,616415
P26678,PPLA_HUMAN,PLN,609909
Q8N1F7,NUP93_HUMAN,NUP93,616892
Q13562,NDF1_HUMAN,NEUROD1,125853
Q96E22,NGBR_HUMAN,NUS1,617082
O00567,NOP56_HUMAN,NOP56,614153
P34130,NTF4_HUMAN,NTF4,613100
Q8N490,PNKD_HUMAN,PNKD,118800
P00491,PNPH_HUMAN,PNP,613179
Q9NVS9,PNPO_HUMAN,PNPO,610090
Q8TCS8,PNPT1_HUMAN,PNPT1,614932
O15305,PMM2_HUMAN,PMM2,212065
Q9ULB1,NRX1A_HUMAN,NRXN1,614325
Q96L73,NSD1_HUMAN,NSD1,117550
Q12908,NTCP2_HUMAN,SLC10A2,613291
Q16620,NTRK2_HUMAN,NTRK2,613886
P57740,NU107_HUMAN,NUP107,616730
Q8N3J5,PPM1K_HUMAN,PPM1K,615135
O15297,PPM1D_HUMAN,PPM1D,114480
Q8N6M0,OTU6B_HUMAN,OTUD6B,617452
P30566,PUR8_HUMAN,ADSL,103050
O43612,OREX_HUMAN,HCRT,161400
O43929,ORC4_HUMAN,ORC4,613800
Q32P28,P3H1_HUMAN,P3H1,610915
O00459,P85B_HUMAN,PIK3R2,603387
Q8TEW0,PARD3_HUMAN,PARD3,182940
Q99497,PARK7_HUMAN,PARK7,168600
O95453,PARN_HUMAN,PARN,616353
Q02962,PAX2_HUMAN,PAX2,120330
Q02548,PAX5_HUMAN,PAX5,613065
P26367,PAX6_HUMAN,PAX6,106210
Q06710,PAX8_HUMAN,PAX8,218700
Q14432,PDE3A_HUMAN,PDE3A,112410
Q9Y233,PDE10_HUMAN,PDE10A,616921
Q9HCR9,PDE11_HUMAN,PDE11A,610475
O95263,PDE8B_HUMAN,PDE8B,609161
Q15120,PDK3_HUMAN,PDK3,300905
P23760,PAX3_HUMAN,PAX3,122880
O43316,PAX4_HUMAN,PAX4,125853
Q96QU1,PCD15_HUMAN,PCDH15,276900
Q16647,PTGIS_HUMAN,PTGIS,145500
Q03431,PTH1R_HUMAN,PTH1R,125350
P12272,PTHR_HUMAN,PTHLH,613382
P01270,PTHY_HUMAN,PTH,146200
Q9NQX1,PRDM5_HUMAN,PRDM5,614170
Q9H4Q4,PRD12_HUMAN,PRDM12,616488
O00232,PSD12_HUMAN,PSMD12,617516
P28070,PSB4_HUMAN,PSMB4,617591
P49768,PSN1_HUMAN,PSEN1,172700
P11686,PSPC_HUMAN,SFTPC,267450
Q9Y6C5,PTC2_HUMAN,PTCH2,155255
P28065,PSB9_HUMAN,PSMB9,617591
Q96JQ0,PCD16_HUMAN,DCHS1,601390
Q8TAB3,PCD19_HUMAN,PCDH19,300088
P51160,PDE6C_HUMAN,PDE6C,613093
P01213,PDYN_HUMAN,PDYN,610245
P36955,PEDF_HUMAN,SERPINF1,613982
Q9NUD9,PIGV_HUMAN,PIGV,239300
P08F94,PKHD1_HUMAN,PKHD1,263200
Q9H7P9,PKHG2_HUMAN,PLEKHG2,616763
Q13835,PKP1_HUMAN,PKP1,604536
Q8IV08,PLD3_HUMAN,PLD3,617770
Q9P212,PLCE1_HUMAN,PLCE1,610725
Q8IY17,PLPL6_HUMAN,PNPLA6,215470
Q15835,RK_HUMAN,GRK1,613411
O43172,PRP4_HUMAN,PRPF4,615922
P78527,PRKDC_HUMAN,PRKDC,615966
O43272,PROD_HUMAN,PRODH,181500
P07737,PROF1_HUMAN,PFN1,614808
P27918,PROP_HUMAN,CFP,312060
Q8WWY3,PRP31_HUMAN,PRPF31,600138
P23942,PRPH2_HUMAN,PRPH2,136880
P60891,PRPS1_HUMAN,PRPS1,300661
O43395,PRPF3_HUMAN,PRPF3,601414
Q96MT3,PRIC1_HUMAN,PRICKLE1,182940
Q96LW4,PRIPO_HUMAN,PRIMPOL,615420
P04070,PROC_HUMAN,PROC,176860
O43490,PROM1_HUMAN,PROM1,603786
P07225,PROS_HUMAN,PROS1,612336
P27635,RL10_HUMAN,RPL10,300847
Q969N2,PIGT_HUMAN,PIGT,615398
O00469,PLOD2_HUMAN,PLOD2,609220
P16471,PRLR_HUMAN,PRLR,615554
Q96MF7,NSE2_HUMAN,NSMCE2,617253
Q6X4W1,NSMF_HUMAN,NSMF,614838
Q08J23,NSUN2_HUMAN,NSUN2,611091
Q96T60,PNKP_HUMAN,PNKP,613402
P12036,NFH_HUMAN,NEFH,105400
Q9H9Q4,NHEJ1_HUMAN,NHEJ1,611291
O14745,NHRF1_HUMAN,SLC9A3R1,612287
O15118,NPC1_HUMAN,NPC1,257220
O75161,NPHP4_HUMAN,NPHP4,606966
Q8WTW4,NPRL2_HUMAN,NPRL2,617116
Q8TBY8,PMFBP_HUMAN,PMFBP1,618112
Q8N8W4,PLPL1_HUMAN,PNPLA1,615024
Q92535,PIGC_HUMAN,PIGC,617816
Q9H3S5,PIGM_HUMAN,PIGM,610293
